id,case_name,court,decision_date,case_number,category,issues,summary,text,source_url
SYN-001,온라인 쇼핑몰 물품 하자 사건,교육용 합성법원,2025-01-10,합성2025민사001,소비자,제품 하자와 계약 해제 및 환불,제품의 중대한 하자가 확인되고 판매자가 보수하지 않아 소비자의 계약 해제와 대금 반환 요구가 인정된 사례,소비자는 온라인 쇼핑몰에서 전자제품을 구입한 직후 반복적인 작동 불량을 발견하였다. 판매자는 사용상 과실을 주장했으나 감정 결과 제조상 결함이 확인되었다. 상당한 기간을 정해 보수를 요구했음에도 판매자가 조치하지 않아 계약 해제와 대금 반환을 청구하였다.,
SYN-002,중고차 성능 고지 위반 사건,교육용 합성법원,2025-02-14,합성2025민사002,소비자,중요 정보 미고지와 손해배상,판매자가 사고 이력을 고지하지 않은 행위는 계약의 중요한 사항에 관한 고지 의무 위반에 해당한다고 본 사례,매수인은 무사고 차량이라는 설명을 믿고 중고차를 구매하였다. 이후 정비 과정에서 주요 골격 수리 이력을 발견하였다. 법원은 사고 이력이 거래 가격과 구매 결정에 중대한 영향을 주는 정보라고 보아 수리비와 가치 하락분 일부를 손해로 인정하였다.,
SYN-003,임대차 보증금 반환 사건,교육용 합성법원,2024-11-21,합성2024민사003,부동산,임대차 종료와 보증금 반환,임대차가 적법하게 종료되었고 목적물이 반환되어 임대인의 보증금 반환 의무가 발생한 사례,임차인은 계약 기간 만료 전에 갱신 의사가 없음을 통지하고 만료일에 주택을 인도하였다. 임대인은 새로운 임차인을 구하지 못했다는 이유로 보증금 지급을 미뤘다. 법원은 후속 임대차 체결 여부가 기존 보증금 반환 의무의 조건이 아니라고 판단하였다.,
SYN-004,층간소음 손해배상 사건,교육용 합성법원,2024-09-05,합성2024민사004,부동산,생활 소음의 수인한도와 불법행위,반복적이고 심야에 집중된 소음이 통상적인 공동주택 생활에서 참아야 할 한도를 넘었다고 본 사례,아파트 위층 거주자는 여러 차례 경고와 관리사무소 중재 이후에도 심야 운동기구 사용을 계속하였다. 측정 기록과 녹음 자료에서 장기간 반복된 충격음이 확인되었다. 법원은 일부 위자료 책임을 인정하였다.,
SYN-005,부당해고 구제 사건,교육용 합성법원,2025-03-18,합성2025노동005,노동,징계 사유와 해고의 정당성,근로자의 잘못은 인정되지만 곧바로 고용 관계를 종료할 정도는 아니어서 해고가 과도하다고 판단한 사례,회사는 근로자가 내부 보고 절차를 두 차례 누락했다는 이유로 징계 해고하였다. 근로자는 장기간 성실히 근무했고 회사에 실제 손해가 발생하지 않았다. 법원은 징계 사유와 양정 사이의 균형을 고려해 해고의 정당성을 부정하였다.,
SYN-006,퇴직금 산정 평균임금 사건,교육용 합성법원,2024-12-12,합성2024노동006,노동,정기 상여금의 임금성,정기적이고 일률적으로 지급된 상여금을 퇴직금 산정의 기초가 되는 임금에 포함한 사례,회사는 분기마다 재직 근로자에게 동일한 기준으로 상여금을 지급하였다. 퇴직자는 해당 상여금이 근로의 대가이므로 평균임금에 포함되어야 한다고 주장하였다. 지급 조건과 관행을 검토한 결과 임금성이 인정되었다.,
SYN-007,배달 중 교통사고 업무상 재해 사건,교육용 합성법원,2025-01-28,합성2025산재007,산업재해,업무 수행성과 배달 종사자의 근로자성,플랫폼의 구체적인 업무 지시와 평가 구조를 고려하여 배달 중 사고와 업무 사이의 관련성을 인정한 사례,배달 종사자는 애플리케이션의 배차와 경로 안내에 따라 이동하던 중 교통사고를 당했다. 플랫폼은 독립 사업자라고 주장했으나 업무 시간과 수행 방식에 실질적인 통제가 있었고 사고가 배달 과정에서 발생했다.,
SYN-008,개인정보 무단 제공 사건,교육용 합성법원,2024-10-30,합성2024정보008,개인정보,동의 없는 제3자 제공과 손해배상,서비스 운영자가 별도 동의 없이 이용자 정보를 광고업체에 제공한 행위의 위법성을 인정한 사례,온라인 서비스 운영자는 가입 시 필수 동의만 받은 뒤 이용자의 연락처와 구매 성향을 광고업체에 전달하였다. 제공 목적과 항목을 구체적으로 알리지 않았으며 이용자가 합리적으로 예상하기 어려운 범위의 활용이었다.,
SYN-009,인터넷 게시글 명예훼손 사건,교육용 합성법원,2025-02-03,합성2025형사009,형사,사실 적시와 공공의 이익,게시글의 주요 내용이 진실하고 소비자 피해 예방이라는 공익적 목적이 우세하여 위법성이 조각된 사례,피고인은 업체 이용 과정에서 겪은 피해 사실과 증빙 자료를 온라인 게시판에 올렸다. 표현 일부가 과장되었으나 핵심 내용은 객관적 자료와 일치했고 특정인을 비방하기보다 추가 피해를 막으려는 목적이 인정되었다.,
SYN-010,보이스피싱 전달책 사기 사건,교육용 합성법원,2024-08-22,합성2024형사010,형사,사기 범행의 고의와 공모,비정상적인 현금 전달 방식과 반복된 지시를 인식하고도 범행을 계속하여 미필적 고의를 인정한 사례,피고인은 고액 아르바이트 광고를 보고 여러 피해자에게서 현금을 받아 타인에게 전달하였다. 정상적인 회사 업무와 다른 방식이라는 사정을 알면서도 신원 확인 없이 반복적으로 현금을 운반해 사기 범행 가담 가능성을 인식했다고 판단되었다.,
SYN-011,사진 저작권 침해 사건,교육용 합성법원,2025-04-02,합성2025지재011,지식재산,사진의 창작성과 무단 이용,촬영자의 선택과 구도에 개성이 표현된 제품 사진을 허락 없이 광고에 사용한 책임을 인정한 사례,판매자는 다른 업체가 촬영한 제품 사진을 내려받아 자사 광고 페이지에 게시하였다. 조명과 배치 및 촬영 각도에 촬영자의 선택이 반영되어 창작성이 인정되었고 단순한 상품 정보 전달을 넘어 상업적으로 이용되었다.,
SYN-012,상표 유사성 및 혼동 사건,교육용 합성법원,2024-07-19,합성2024지재012,지식재산,상표의 유사성과 소비자 혼동 가능성,표장의 외관과 호칭 및 지정 상품의 거래 실정을 종합하여 출처 혼동 가능성이 높다고 판단한 사례,피고는 원고의 등록상표와 발음이 유사한 표장을 같은 종류의 의류에 사용하였다. 온라인 판매 화면의 표시 방식과 주요 소비자층을 고려할 때 일반 소비자가 상품의 출처를 오인할 가능성이 있다고 보았다.,

